Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-12-18,3659.497802734375,3725.6859061104938,3631.9510077507234,3658.4548633752634,2521612
2023-12-19,3618.722412109375,3655.6095861879026,3593.8782342059817,3646.0321399794193,2004435
2023-12-20,3584.443603515625,3697.048641126024,3571.6421887136007,3629.2010963738817,2586083
2023-12-21,3591.507568359375,3609.7139762658885,3549.6422988122054,3561.874667630337,1517562
2023-12-22,3626.118896484375,3646.9330002294705,3567.327219815434,3603.360828096398,2413058
2023-12-26,3599.140869140625,3635.6011420652,3594.0201652475857,3622.183457891739,1285231
2023-12-27,3613.9814453125,3620.619215684377,3573.0169658903283,3602.4128061086403,1293976
2023-12-28,3603.266357421875,3639.394888074637,3595.8701694834517,3626.1193465339793,1682889
2023-12-29,3597.102294921875,3624.7914635502243,3570.5512149274923,3595.774833524974,1574996
2024-01-01,3613.886962890625,3633.70535723094,3577.75843236752,3593.8787327518953,825907
2024-01-02,3587.430419921875,3613.8868154362913,3572.3058320680057,3613.8868154362913,1344068
2024-01-03,3500.71240234375,3576.667547002565,3496.2556603222715,3572.068428151664,1803075
2024-01-04,3477.053955078125,3526.552712648792,3462.0715122024035,3510.1953493002593,3598144
2024-01-05,3544.474365234375,3553.8147487517995,3484.687206057707,3484.829351387596,1963127
2024-01-08,3487.95849609375,3546.2285872851344,3482.363665387938,3544.4742269140233,1067805
2024-01-09,3498.9580078125,3558.1765819638836,3492.1780927137597,3517.9705232630245,1370944
2024-01-10,3520.909912109375,3536.271560324902,3497.1561344716065,3499.0526399675236,1292227
2024-01-11,3542.245849609375,3577.757871232071,3515.173185437924,3531.2934832939923,1777909
2024-01-12,3681.87646484375,3703.1646964851307,3623.843432744319,3648.8772170987218,6813450
2024-01-15,3701.789794921875,3759.8228273170075,3683.962593726753,3755.0815627176166,2801505
2024-01-16,3661.48876953125,3697.237855611621,3656.0363156533926,3697.237855611621,1432672
2024-01-17,3683.583251953125,3707.621323698518,3615.261585245189,3621.377770055813,3458696
2024-01-18,3700.65185546875,3706.5309771399134,3662.1526951745536,3696.2897995314374,2239110
2024-01-19,3765.05712890625,3784.6317399780814,3738.3210747593575,3766.919057481787,2941975
2024-01-23,3684.085205078125,3756.3202043628303,3669.28488869668,3723.9505733958886,2618854
2024-01-24,3668.3779296875,3708.3386452495192,3633.8120750758894,3704.8535025994192,2657709
2024-01-25,3638.299560546875,3686.7108687652694,3608.12592069105,3666.5632491430715,2205154
2024-01-29,3629.41943359375,3647.561756466226,3610.179116005899,3629.228508398019,1646747
2024-01-30,3628.989990234375,3674.1070850852757,3616.05160212405,3635.578425123368,1411621
2024-01-31,3643.6943359375,3660.929588370053,3625.0745845099527,3639.158755461559,2459358
2024-02-01,3680.169921875,3728.6290187621194,3633.286482295551,3647.56157849842,2363107
2024-02-02,3787.2578125,3804.5406228744723,3697.2145499513263,3700.1269169206976,2826510
2024-02-05,3793.941650390625,3840.4432412225233,3783.247275258838,3803.2037368944084,1691523
2024-02-06,3949.297119140625,3962.569566984558,3809.887694722218,3816.5717082217307,4474396
2024-02-07,3899.07177734375,3967.439786038246,3890.0484049597753,3965.5300677296837,2124267
